,Title,Published_date,Views,Likes,Favourite,Month
0,Dale's BEST Lines in Fairfax #shorts | Prime Video,2022-02-02,1014,71,0,Feb
1,The Boys Presents: Diabolical - Teaser | Prime Video,2022-02-02,38023,1173,0,Feb
2,Cinderella's life is lowkey crazy #shorts | Prime Video,2022-02-01,2176,82,0,Feb
3,I Want You Back - Official Trailer | February 11 | Prime Video,2022-02-01,1521250,627,0,Feb
4,How Jimmy O Yang's dad shows love #shorts | Prime Video,2022-01-31,3682,293,0,Jan
5,Being the Ricardos Official Cast Roundtable | Prime Video,2022-01-28,37116,288,0,Jan
6,As We See It: Cast Panel at Sundance | Prime Video,2022-01-25,62871,322,0,Jan
7,As We See It | Premiere Panel Discussion,2022-01-24,59599,208,0,Jan
8,Best Family Movies to Watch on Prime Video,2022-01-23,5841,191,0,Jan
9,Invincible Musical Score | Prime Video,2022-01-22,45303,552,0,Jan
10,Welcome to The Drama Club | Prime Video,2022-01-20,4129,67,0,Jan
11,The Legend of Vox Machina - Try To Do Some Good Clip | Prime Video,2022-01-20,342581,14755,0,Jan
12,Phat Tuesdays: The Era of Hip Hop Comedy – Official Trailer I February 4,2022-01-20,6688,177,0,Jan
13,Upload - Season 1 Recap | Prime Video,2022-01-20,29626,459,0,Jan
14,The Panic Cast Shares Their Craziest Dreams | Prime Video,2022-01-19,43653,156,0,Jan
15,LOL: Last One Laughing Canada - Official Trailer | Prime Video,2022-01-19,12413,167,0,Jan
16,The Lord of the Rings: The Rings of Power  - Title Announcement | Prime Video,2022-01-19,3518461,69285,0,Jan
17,Le Seigneur des anneaux : Les anneaux de pouvoir - Annonce du titre | Prime Video,2022-01-19,431,21,0,Jan
18,Elite Anime On Prime Video | Anime Club,2022-01-18,55650,587,0,Jan
19,Reacher - Prison Brawl | Prime Video,2022-01-18,373271,3601,0,Jan
20,The Boys Presents: Diabolical - First Look - Laser Baby | Prime Video,2022-01-18,133826,3135,0,Jan
21,The Expanse Series Finale Explained | The Takeaway | Prime Video,2022-01-15,73685,1750,0,Jan
22,The Expanse Aftershow S6E6 – Wes Chatham & Ty Franck w/ Dominique Tipper & Steven Strait,2022-01-15,194698,6191,0,Jan
23,"As We See It - Clip: ""Who Wants to Start"" | Prime Video",2022-01-14,5231,97,0,Jan
24,Hotel Transylvania: Transformania – Werewolf of Dance | Prime Video,2022-01-14,38829,391,0,Jan
25,Hôtel Transylvanie: Changements Monstres - Bande-annonce officielle VF | Prime Video,2022-01-13,253,37,0,Jan
26,The Legend of Vox Machina - Trailer (Red Band Trailer) | Prime Video,2022-01-12,4855274,53895,0,Jan
27,The Best of Jim and Jack from Jack Ryan | Prime Video,2022-01-09,53672,456,0,Jan
28,Hotel Transylvania: Transformania – Retirement | Prime Video,2022-01-09,77048,969,0,Jan
29,Feel-Good Movies on Prime Video,2022-01-08,52814,305,0,Jan
30,The Expanse Aftershow S6E5 – Wes Chatham & Ty Franck w/ Shohreh Aghdashloo & Cara Gee,2022-01-08,130061,3320,0,Jan
31,Hotel Transylvania: Transformania – Texting | Prime Video,2022-01-07,15715,365,0,Jan
32,The Boys - Season 3 First Look | Prime Video,2022-01-07,360932,9480,0,Jan
33,The Expanse Season 6 - Naomi & Drummer Clip | Prime Video,2022-01-06,21942,486,0,Jan
34,Building the World of the Wheel of Time - Part 2 | Prime Video,2022-01-02,64660,1042,0,Jan
35,Building the World of the Wheel of Time | Prime Video,2022-01-01,102133,1131,0,Jan
36,New To Prime Video January 2022,2022-01-01,86863,753,0,Jan
37,The Expanse Aftershow S6E4 – Wes Chatham & Ty Franck w/ Dan Nowak,2022-01-01,70981,947,0,Jan
38,Finding the Perfect Cast for the Wheel of Time - Part 1 | Prime Video,2021-12-31,133450,1929,0,Dec
39,Finding the Perfect Cast for the Wheel of Time - Part 2 | Prime Video,2021-12-30,97178,1960,0,Dec
40,The Expanse Season 6 - Naomi & Holden Clip | Prime Video,2021-12-30,8311,295,0,Dec
